MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading
368052630,2024-06-15T17:59:11,37.80935,-122.41519,0.1,41.9,133.0
367781670,2024-06-15T17:57:25,37.86515,-122.31476,0.0,360.0,511.0
368212750,2024-06-15T17:58:29,37.77451,-122.38453,0.0,360.0,511.0
368093850,2024-06-15T17:58:17,37.86850,-122.44377,4.3,161.9,511.0
368178440,2024-06-15T17:59:28,37.76682,-122.28454,0.0,43.2,511.0
338360063,2024-06-15T17:58:27,37.78828,-122.27408,0.0,360.0,511.0
367330510,2024-06-15T17:58:31,37.82201,-122.31169,0.0,360.0,292.0
366962000,2024-06-15T17:58:05,37.92119,-122.40974,0.0,62.9,144.0
367350050,2024-06-15T17:59:07,37.82666,-122.42073,0.1,145.7,511.0
367350050,2024-06-15T17:57:07,37.82667,-122.42073,0.0,154.9,511.0
338424526,2024-06-15T18:00:18,37.84219,-122.39719,6.1,347.5,511.0
338109287,2024-06-15T17:59:31,37.78090,-122.38712,0.0,0.0,511.0
368059360,2024-06-15T17:59:42,37.80691,-122.44500,0.0,360.0,511.0
368093850,2024-06-15T17:59:27,37.86794,-122.44349,0.5,193.4,511.0
367002980,2024-06-15T17:59:59,37.87253,-122.45568,0.0,0.0,511.0
338096000,2024-06-15T17:59:38,37.88283,-122.39532,10.0,177.9,511.0
368194460,2024-06-15T17:59:59,37.94975,-122.43239,8.3,181.9,183.0
338229693,2024-06-15T17:59:55,37.90905,-122.38073,0.0,3.9,233.0
338184357,2024-06-15T18:00:17,37.84582,-122.39533,5.1,355.9,511.0
367301480,2024-06-15T17:59:19,37.80273,-122.39819,2.1,230.9,161.0
338494643,2024-06-15T17:59:26,37.78288,-122.26265,0.7,292.0,511.0
338169735,2024-06-15T17:59:35,37.91022,-122.37957,0.0,38.5,511.0
338398123,2024-06-15T17:58:56,37.91153,-122.34679,0.7,148.4,182.0
338493401,2024-06-15T17:59:09,37.82591,-122.43864,5.5,296.4,274.0
338460698,2024-06-15T17:59:19,37.85390,-122.36428,2.3,342.9,511.0
338209242,2024-06-15T17:59:11,37.87246,-122.45636,0.1,182.8,511.0
368025250,2024-06-15T17:58:45,37.79854,-122.35095,0.0,10.1,162.0
368003290,2024-06-15T17:58:57,37.81993,-122.43679,7.6,170.2,511.0
367677130,2024-06-15T17:59:03,37.79218,-122.28460,0.0,322.1,181.0
368053730,2024-06-15T17:58:42,37.94274,-122.44587,31.0,176.1,175.0
366778450,2024-06-15T17:59:39,37.93502,-122.48729,13.8,295.2,297.0
338132901,2024-06-15T17:58:53,37.87125,-122.46227,0.0,276.4,511.0
368212750,2024-06-15T17:59:39,37.77450,-122.38451,0.1,166.4,511.0
338332477,2024-06-15T17:58:54,37.90419,-122.37375,7.3,99.4,511.0
367533950,2024-06-15T17:59:23,37.91294,-122.35166,0.0,360.0,511.0
366862670,2024-06-15T18:00:09,37.70005,-122.32569,0.0,112.3,511.0
366862670,2024-06-15T17:59:18,37.70006,-122.32568,0.0,39.2,511.0
338427534,2024-06-15T17:58:00,37.86968,-122.39912,0.4,317.9,98.0
368369320,2024-06-15T17:59:48,37.81925,-122.48413,7.8,237.6,511.0
338096000,2024-06-15T17:58:10,37.88679,-122.39569,9.9,173.4,511.0
368194460,2024-06-15T18:00:01,37.94967,-122.43240,8.3,182.9,183.0
366969970,2024-06-15T18:00:05,37.94531,-122.50874,0.0,136.2,317.0
367301480,2024-06-15T18:00:02,37.80267,-122.39804,0.8,85.4,76.0
368063440,2024-06-15T17:58:48,37.79467,-122.28023,0.0,44.8,25.0
367002980,2024-06-15T17:58:50,37.87252,-122.45564,0.0,0.0,511.0
338465795,2024-06-15T17:59:12,37.91103,-122.38140,0.0,360.0,511.0
232014181,2024-06-15T17:59:17,37.87805,-122.50448,2.3,103.9,511.0
338229881,2024-06-15T17:59:17,37.86460,-122.49003,0.0,360.0,511.0
373943000,2024-06-15T17:58:39,37.70056,-122.31643,0.0,72.2,153.0
367338290,2024-06-15T18:00:00,37.80700,-122.40430,0.0,175.0,511.0
368210870,2024-06-15T18:00:28,37.86773,-122.43688,0.1,192.9,511.0
338239291,2024-06-15T17:59:23,37.91226,-122.34675,0.0,360.0,511.0
338307197,2024-06-15T17:59:28,37.88345,-122.38441,4.4,118.9,511.0
215230000,2024-06-15T17:59:48,37.79680,-122.31865,0.0,186.6,288.0
366961920,2024-06-15T17:59:54,37.79823,-122.39402,0.0,188.6,511.0
368215830,2024-06-15T18:00:20,37.83809,-122.30989,0.0,360.0,511.0
338181691,2024-06-15T18:00:29,37.81484,-122.45029,5.0,85.2,82.0
338102084,2024-06-15T18:00:57,37.86478,-122.48994,0.0,289.8,88.0
419001313,2024-06-15T17:59:18,37.75240,-122.35316,0.0,38.2,157.0
563142100,2024-06-15T18:00:47,37.80817,-122.33895,0.1,151.0,235.0
338433473,2024-06-15T18:00:50,37.85864,-122.48121,0.0,360.0,511.0
338398275,2024-06-15T17:59:27,37.86701,-122.49048,5.6,142.4,511.0
367768090,2024-06-15T17:59:30,37.87617,-122.40598,5.7,4.7,511.0
366864850,2024-06-15T18:00:06,37.81007,-122.41173,0.1,360.0,165.0
338192559,2024-06-15T18:00:03,37.78051,-122.25455,0.0,360.0,511.0
367581220,2024-06-15T17:59:55,37.81904,-122.30890,0.0,270.6,282.0
338332477,2024-06-15T18:00:03,37.90381,-122.37081,7.4,94.9,511.0
366866080,2024-06-15T18:00:04,37.80692,-122.44288,0.0,360.0,263.0
338493401,2024-06-15T18:00:11,37.82658,-122.44052,5.8,293.6,272.0
368278830,2024-06-15T17:59:10,37.79222,-122.28343,0.0,201.9,269.0
